iter	Accuracy	Logloss
0	0.8021395849	0.4194951971
1	0.8464668697	0.3606687489
2	0.8476953395	0.3367712454
3	0.8533002329	0.3240060574
4	0.8538632815	0.3185583337
5	0.8559107312	0.314835745
6	0.8578814015	0.3116679645
7	0.8584444501	0.3092828787
8	0.860747831	0.3072659294
9	0.861182914	0.304847138
10	0.8616435902	0.3025874763
11	0.8624369769	0.3009452614
12	0.8634862949	0.2987658343
13	0.8638701917	0.2982541399
14	0.8639981573	0.2973431621
15	0.8651242546	0.296686969
16	0.8652522202	0.2960929941
17	0.8645356128	0.2948414235
18	0.8650474752	0.2945030951
19	0.8654057789	0.2938135972
20	0.8659688276	0.293407609
21	0.8659688276	0.2928810391
22	0.8674276355	0.2906399601
23	0.8687584777	0.2880734237
24	0.8708827067	0.286660858
25	0.8710362655	0.2852128313
26	0.871368976	0.2850313211
27	0.8718552453	0.2846700445
28	0.872213549	0.2842229558
29	0.8721367696	0.2838880562
30	0.8722647352	0.2837296415
31	0.8722391421	0.2832967241
32	0.873058122	0.2831455088
33	0.8724438871	0.2827210414
34	0.8734164257	0.2806213613
35	0.8737747294	0.280308308
36	0.8738515087	0.2801766367
37	0.8738515087	0.2801505912
38	0.8742098124	0.2794804626
39	0.8744145574	0.2794122341
40	0.8744913367	0.278992491
41	0.8751311647	0.2787203341
42	0.8752335372	0.2786521504
43	0.8750799785	0.2776628621
44	0.8753359097	0.2772373966
45	0.8750799785	0.2771348505
46	0.8751567579	0.2771274344
47	0.8753615028	0.2770392981
48	0.8754638753	0.2768352867
49	0.8751055716	0.2767665242
50	0.8752335372	0.2763124904
51	0.8752847235	0.2762739768
52	0.8753870959	0.2761220114
53	0.8759501446	0.2759487024
54	0.8762828552	0.2757198313
55	0.8761804827	0.2753534682
56	0.8759757377	0.2752235638
57	0.8759501446	0.2752224994
58	0.8759501446	0.2751944333
59	0.8761037033	0.275157113
60	0.8759245515	0.2750149611
61	0.8759757377	0.2750139647
62	0.8758989584	0.2749597265
63	0.8756430272	0.2747802364
64	0.8762828552	0.2746041971
65	0.8761292964	0.2744873375
66	0.8761037033	0.2744866708
67	0.876257262	0.274350052
68	0.8761292964	0.2742426972
69	0.8761548896	0.2742407955
70	0.8763084483	0.2742392421
71	0.8768203107	0.2740851584
72	0.8770762419	0.2740528708
73	0.8770762419	0.2740236779
74	0.8774601387	0.2730477441
75	0.8774089525	0.2730205927
76	0.8773577662	0.2724895762
77	0.8773321731	0.2722967497
78	0.877511325	0.2720613711
79	0.8775881043	0.2718534089
80	0.8780487805	0.2717741615
81	0.8781255598	0.2715097108
82	0.8782023392	0.271418241
83	0.8783047117	0.2713512854
84	0.877946408	0.2711860504
85	0.8782791186	0.27104198
86	0.8782279323	0.2708350681
87	0.8783303048	0.2706489174
88	0.8781767461	0.2705690897
89	0.878151153	0.2704537761
90	0.8782023392	0.2704532065
91	0.8783047117	0.2703992549
92	0.8783303048	0.2703368379
93	0.8783558979	0.2703353581
94	0.8783047117	0.270304806
95	0.8784070842	0.2702967823
96	0.8780231874	0.2702898788
97	0.8784070842	0.2701060815
98	0.8784070842	0.2700500079
99	0.8783303048	0.2700227796
