iter	Passed	Remaining
0	15	1504
1	31	1558
2	47	1550
3	64	1546
4	79	1510
5	96	1507
6	111	1481
7	128	1477
8	146	1479
9	166	1499
10	182	1478
11	197	1449
12	218	1463
13	236	1455
14	255	1445
15	273	1437
16	290	1415
17	311	1418
18	329	1404
19	345	1383
20	361	1360
21	378	1340
22	393	1318
23	416	1318
24	431	1294
25	459	1307
26	474	1282
27	489	1259
28	505	1237
29	521	1216
30	536	1194
31	552	1173
32	567	1151
33	582	1130
34	597	1110
35	612	1088
36	627	1069
37	642	1049
38	658	1029
39	673	1009
40	688	990
41	704	972
42	719	953
43	734	934
44	749	915
45	764	897
46	779	878
47	794	861
48	809	842
49	825	825
50	840	807
51	856	790
52	872	773
53	888	756
54	904	739
55	919	722
56	935	705
57	951	688
58	966	671
59	982	654
60	997	637
61	1012	620
62	1028	603
63	1043	586
64	1057	569
65	1072	552
66	1088	535
67	1104	519
68	1120	503
69	1136	487
70	1152	470
71	1168	454
72	1183	437
73	1197	420
74	1212	404
75	1227	387
76	1241	370
77	1256	354
78	1271	337
79	1285	321
80	1300	305
81	1314	288
82	1329	272
83	1344	256
84	1358	239
85	1373	223
86	1388	207
87	1402	191
88	1417	175
89	1432	159
90	1451	143
91	1466	127
92	1480	111
93	1495	95
94	1510	79
95	1524	63
96	1539	47
97	1554	31
98	1569	15
99	1584	0
